	city	country	Boundary (CDP)	City Location (CDP)	lat (external)	lon (external)	Geographic group	Current Population (CDP)	pop (external)	quality flag population	area [km2] (external)	pop density (calculated from external sources)	Average annual temperature (in Celsius) (CDP)	Average altitude (m) (CDP)	mean TT [min]	CDD_23C	HDD_15.5C	CDD_23C (FMB)	HDD_15.5C (FMB)	Reporting Year (CDP)	Measurement Year (CDP)	Measurement year only (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	Gases included (CDP)	scope fraction (CDP)	TOT lower bd [tCO2]	TOT upper bd [tCO2]	TOT mean [tCO2]	S1 lower bd [tCO2]	S1 upper bd [tCO2]	S1 mean [tCO2]	S1 mean [tCO2]/cap	Scope 1 (orig)/cap	Primary Methodology (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Urban Area Cluster (FC)	Low BUA 1990 (FC)	Low BUA 2000 (FC)	Low BUA 2014 (FC)	High BUA 1990 (FC)	High BUA 2000 (FC)	High BUA 2014 (FC)	Low BUA % 1990 (FC)	Low BUA % 2000 (FC)	Low BUA % 2014 (FC)	High BUA % 1990 (FC)	High BUA % 2000 (FC)	High BUA % 2014 (FC)	Low BUA pop density 1990 (FC)	High BUA pop density 1990 (FC)	Low BUA pop density 2000 (FC)	High BUA pop density 2000 (FC)	Low BUA pop density 2014 (FC)	High BUA pop density 2014 (FC)	diesel_price (2014)	gasoline_price (2014)	household_size (updated)	year_household_size (updated)	AVERAGE CONGESTION RATE (INRIX)	INRIX CONGESTION INDEX (INRIX)	PEAK HOURS SPENT IN CONGESTION (INRIX)	RANK (INRIX)	Congestion Level (TomTom)	World Rank (TomTom)	Congestion change (TomTom)	Morning Peak (TomTom)	Evening Peak (TomTom)	human capital (IESE)	social cohesion (IESE)	economy (IESE)	public management (IESE)	governance (IESE)	environment (IESE)	mobility and transportation (IESE)	urban planning (IESE)	international impact (IESE)	technology (IESE)	CIMI (IESE)	CIMI Ranking (IESE)	CIMI Performance (IESE)	GDP-PPP combined	GDP-PPP combined/cap	s1 to use	pop to use	s1 per capita	LB S1 per capita	UB S1 per capita	s1 per gdp	LB S1 per gdp	UB S1 per gdp	MethodNum	s1 per gdp [kgCO2/USD]	GDP-PPP combined [USD]
1	Abington	USA	Other: Municipal boundary	(40.12408, -75.119511)	40.1	284.9	groupUSA	55310.0	55557	1.0	40.1707449	1383.02140372	13.6	86.0	27.8			48	627	2016	2010-12-31 00:00:00	2010	615224.0	193345.0	421879.0		Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6	1.0	559990.799838	587813.941021	573902.370429	138111.799838	165934.941021	152023.370429	2.74856934423	3.49566082083	Other	"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation
in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and
Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns
such as transportation, land use, environmental protection and economic development. 

DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below:

1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 
2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions.""  The 2010 results are what is being reported for this questionnaire."	Decreased	Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.																				0.97	0.86	2.62	2011-2015																									152023.370429	55310.0	2.74856934422	2.49704935523	3.00008933323				5		
2	Addis Ababa	Ethiopia	Administrative boundary of a local government	(9.028874, 38.754366)	9.03	38.74	groupAfrica	3384569.0	3270000	1.0	540.0	6055.55555556		2650.0				0	73	2016	2012-12-31 00:00:00	2012	3708292.0	3708292.0		CDP2016 TOT likely wrong because one scope is missing.	Grade D	CO2; CH4; N2O		1983266.67277	3298555.81422	2640911.24349	1983266.67277	3298555.81422	2640911.24349	0.780279924413	1.09564674261	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Reported according to the BASIC+ requirement	First year of calculation	lack of capacity	Addis Ababa Urban Area Cluster	77.5	95.75	190.625	102.8125	155.0625	281.75	0.429809358752	0.293993475341	0.403545911617	0.570190641248	0.476108232585	0.596454088383	4500.55431304	17602.1730059	3309.40431577	16527.7609119	1694.67698379	13451.8381597	0.89	0.99																									12.0		2640911.24349	3384569.0	0.780279924413	0.585973183815	0.974586665014	220075.936958	165272.222731	274879.651185	1	0.220075936958	12000000000.0
3	Adelaide	Australia	Administrative boundary of a local government	(-34.928499, 138.600746)	-34.929	138.601	groupOceania	23169.0	22393	1.0	15.57	1438.21451509	18.0	38.0	33.23			60	528	2016	2013-06-30 00:00:00	2013	486541.0	63724.0	422817.0		Grade A	CO2; CH4; N2O	1.0	464689.965238	468510.550909	466600.258074	41872.9652379	45693.5509093	43783.2580736	1.88973447596	2.75039924036	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.	Adelaide Urban Area Cluster	214.1875	223.0	231.3125	595.0	617.5	639.125	0.264694523828	0.264472611371	0.265742801752	0.735305476172	0.732340078571	0.734257198248	112.385700742	1352.72870172	83.0139969912	1470.29628971	80.6054027547	1789.54506144	1.28	1.23	1.7	2011					0.27	100	0.02	45%	41%														47.433	36217.0	43783.2580736	23169.0	1.88973447596	1.80728409676	1.97218485516	923.054794628	882.781296521	963.328292735	1	0.000923054794628	47433000000.0
5	Ajax	Canada	Administrative boundary of a local government	(43.850855, -79.020373)	43.858	280.964	groupCan	109600.0	109600	1.0	67.07	1634.11361264	7.8	90.0	34.9			18	1834	2016	2008-12-31 00:00:00	2008	538836.0	6354.0			Grade B	CO2									0.0579744525547	International Emissions Analysis Protocol (ICLEI)	PCP Protocol method	Increased	Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.	Ajax, ON Urban Area Cluster	37.0	36.125	39.25	74.0	80.6875	93.375	0.333333333333	0.292954891029	0.295947219604	0.666666666667	0.654333502281	0.704052780396	500.405419286	2043.4548849	327.754479397	2359.77936355	179.301262081	2760.12493431	1.16	1.17	3.2	2011																									6354.0	109600.0	0.0579744525547						4		
6	Albany	USA	Administrative boundary of a local government	(42.6526, -73.7562)	42.653	286.243	groupUSA	97856.0	98111	1.0	55.3998861	1770.96031972	9.0	9.0	19.1			3	2430	2017	2010-01-03 03:10:00	2010	1217091.0	663997.0	553094.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6	1.0	1119370.87642	1168596.35651	1143983.61647	566276.876422	615502.356509	590889.616466	6.03835857245	6.78545004905	Other: New York Community and Regional GHG Inventory Guidance	http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/	N/A	Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.	Albany Urban Area Cluster	173.8125	179.9375	186.625	281.0	310.8125	334.9375	0.38216297925	0.362731510646	0.357819053325	0.61783702075	0.626559153332	0.642180946675	228.734070132	1140.6633931	178.467284258	1148.36850197	156.870656784	1132.09966756	0.97	0.86	2.19	2011-2015	4.4%	2.3	13.0	586.0	0.14	178	0.0	18%	32%														58.397	66342.0	590889.616466	97856.0	6.03835857245	5.78683858345	6.28987856145	10118.4926703	9697.01999113	10539.9653494	5	0.0101184926703	58397000000.0
7	Alton, IL	USA	Administrative boundary of a local government	(38.890604, -90.184276)	38.901	269.84	groupUSA	26581.0	26861	1.0	40.0671453	670.399645367	13.7	132.0	22.7			73	464	2016	2013-12-31 00:00:00	2013	401079.0	138542.0	262537.0		Grade A	CO2; CH4; N2O	1.0	374534.908633	387906.214288	381220.56146	111997.908633	125369.214288	118683.56146	4.46497729433	5.21206877093	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		First year of calculation		Alton, IL Urban Area Cluster	65.3125	68.125	69.3125	89.5625	94.6875	100.1875	0.421711057304	0.414448669202	0.408923303835	0.578288942696	0.576045627376	0.591076696165	181.560331103	751.843670817	174.404129127	771.66289604	176.74056075	769.029650243	0.97	0.86	2.27	2011-2015																									118683.56146	26581.0	4.46497729431	4.21345730533	4.71649728332				1		
8	Amman	Jordan	A metropolitan area	(31.945367, 35.928372)	31.95	35.933	groupAfrica	3604459.0	4007526	2.0	1680.0	2385.43214286	17.0	900.0	50.29			313	764	2016	2014-12-31 00:00:00	2014	7215407.0	3322603.0	3892804.0		Grade A	CO2; CH4; N2O	1.0	6160519.93897	6637624.62596	6399072.28247	2267715.93897	2744820.62596	2506268.28247	0.695324397494	0.921803521694	2006 IPCC Guidelines for National Greenhouse Gas Inventories		First year of calculation		Amman Urban Area Cluster	232.8125	265.0625	298.0	289.9375	357.0	421.375	0.445361071258	0.417750197006	0.414248479583	0.554638928742	0.562647754137	0.585751520417	674.933401939	5851.19564753	728.422233322	6752.18424905	952.800882929	9030.5218001	0.82	1.27	5.2	2008										174.0	92.0	171.0	66.0	170.0	156.0	180.0	169.0	154.0	167.0	36.7	175.0	B			2506268.28247	3604459.0	0.695324397495	0.629141832095	0.761506962892				3		
9	Amsterdam	Netherlands	Administrative boundary of a local government	(52.370216, 4.895168)	52.367	4.9	groupEurope	822272.0	810000	1.0	219.0	3698.63013699	11.8	2.0	37.5	15.0	2060.0	0	1950	2016	2016-12-31 00:00:00	2016	4471000.0	2161000.0	2310000.0	S1 derived from TOT - S2 in CDP2016 dataset	Grade B	CO2	1.0								2.62808413761	Other	Local standard based on electricity, gas, district heat en local transportation.	Decreased	The decrease is very slight (<0,1%). An exact reason cannot be given. It probably has to do with the fact that outdoor temperatures were lower in 2015 than in 2014 and an increase of economical activity. Despite these curcumstances it is a decrease of emissions. This can be an indication that climate policies have a positieve affect, though not very strong.	Amsterdam Urban Area Cluster	260.1875	278.75	295.6875	444.375	508.3125	597.6875	0.369289452675	0.344747623097	0.330978032741	0.630710547325	0.628661977274	0.669021967259	316.728227225	3195.85430019	301.679149802	3081.98335457	272.317386791	2921.42531076	1.8	2.15	1.8	2013	9.2%	4.8	27.0	215.0	0.22	129	0.02	35%	52%	34.0	26.0	32.0	56.0	31.0	95.0	20.0	1.0	7.0	6.0	82.86	10.0	RA	320.6	45265.0	2161000.0	822272.0	2.62808413761			6740.48658765			5	0.00674048658765	3.206e+11
10	Arlington, VA	USA	Administrative boundary of a local government	(37.226486, -76.002594)	38.881	282.863	groupUSA	216700.0	230050	1.0	67.2620403	3420.20549739	14.5	83.0	28.1			73	464	2016	2015-12-31 00:00:00	2015	2480700.0	1257464.0	1223236.0		Grade A	CO2; CH4; N2O	1.0	2264300.8954	2373309.65864	2318805.27702	1041064.8954	1150073.65864	1095569.27702	5.0556957869	5.8027872635	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Transportation, fuel oil use, and solid waste emissions data are the most recent available, from a 2012 inventory. Electricity and natural gas consumption in the community reflect actual 2015 data based on utility reporting.	Decreased	Total emissions have decreased since the 2014 accounting. Electricity emissions increased slightly over this time, while natural gas use fell.  We are exploring whether this shift is due to the weather, or perhaps also a fuel shift  from gas to electric heat pumps in large residential buildings (as with retrofits from central systems to individually-metered units).	Arlington, VA Urban Area Cluster	719.4375	725.0	694.125	1564.8125	1789.8125	2043.625	0.314955674729	0.282286520819	0.253538489636	0.685044325271	0.696882680749	0.746461510364	484.341336098	1820.92059997	380.215231687	1931.26974207	288.492505865	2071.60736966	0.97	0.86	2.24	2011-2015																									1095569.27702	216700.0	5.05569578689	4.80417579788	5.30721577591				2		
12	Athens	Greece	Administrative boundary of a local government	(37.98381, 23.727539)	37.984	23.728	groupEurope	664046.0	660000	1.0	39.0	16923.0769231	17.5	208.0	37.46	460.0	794.0	165	495	2016	2014-12-31 00:00:00	2014	4711576.0	1260355.0	3451221.0		Grade A	CO2; CH4; N2O	1.0	4442677.41649	4463097.47458	4452887.44554	991456.416489	1011876.47458	1001666.44554	1.5084293039	1.8979935125	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		First year of calculation	It is the first an inventory has been developed using the GPC Standard. Previous inventory did not use this methodology so the data cannot be compared.	Athens Urban Area Cluster	201.125	212.875	219.9375	506.0	525.0	540.0625	0.284426374403	0.287644624609	0.289391447368	0.715573625597	0.709399543957	0.710608552632	399.365992657	6522.93866526	383.962387079	6758.50270492	338.314540467	6516.5198208	1.63	1.98	2.2	2011					0.37	41	0.01	58%	56%	67.0	160.0	115.0	95.0	95.0	99.0	46.0	25.0	39.0	98.0	60.9	94.0	RA	129.623	32484.0	1001666.44554	664046.0	1.5084293039	1.4930538193	1.52380478849	7727.5363596	7648.76924997	7806.30346914	1	0.0077275363596	1.29623e+11
