city	scope1	dataset	year	country	region	s1PerCap	protocol
Abington	193345	CDP	2010	USA	North America	2.73634952263898	5
Addis Ababa	3708292	CDP	2012	Ethiopia	Africa	0.807618117275732	1
Adelaide	63724	CDP	2013	Australia	Oceania	1.95522074191115	1
Aguascalientes	3839803	carbonn	2010	Mexico	Latin America & Caribbean	4.10927266422952	1
Ahmedabad	13855311	carbonn	2008	India	South Asia	2.45926349418443	1
Ajax, ON	6354	CDP	2008	Canada	North America	0.057974452554745	4
Albany	663997	CDP	2010	USA	North America	6.02266429315602	5
Alton, IL	138542	CDP	2013	USA	North America	4.41843421542368	1
Amman	3322603	CDP	2014	Jordan	N Africa & W Asia	0.625390398581367	3
Amsterdam	2161000	CDP	2016	Netherlands	Europe	2.6679012345679	5
Anshan	3293364.54581	PKU	2010	China	East Asia	1.34474582128	6
Anyang	917789.196792	PKU	2010	China	East Asia	0.462207237668	6
Arlington, VA	1257464	CDP	2015	USA	North America	4.76230939804729	2
Athens	1260355	CDP	2014	Greece	Europe	1.51767643263031	1
Atlanta	3548215	CDP	2014	USA	North America	6.80745971610176	1
Auckland	9133523	CDP	2013	New Zealand	Oceania	5.30322302057791	1
Austin	6439000	CDP	2013	USA	North America	6.09293310628657	2
Balikpapan	481003	carbonn	2015	Indonesia	Southeast Asia	0.652821773981211	1
Baltimore	4019044	CDP	2014	USA	North America	5.7915117277523	2
Bandung	2660.98238	carbonn	2013	Indonesia	Southeast Asia	0.001033199421622	1
Bangalore	5568706.7	carbonn	2008	India	South Asia	0.451293052273736	1
Baoding	2946568.18924	PKU	2010	China	East Asia	0.678879734794	6
Baotou	3363195.27344	PKU	2010	China	East Asia	1.596385	6
Barcelona	3595726	carbonn	2012	Spain	Europe	2.24094904817847	1
Barranquilla	3023515	carbonn	2013	Colombia	Latin America & Caribbean	2.46160252908357	1
Barreiro	203441	CDP	2014	Portugal	Europe	2.58291859225027	1
Basel	783932	CDP	2016	Switzerland	Europe	3.81346515567724	1
Batangas	344419	CDP	2010	Philippines	Southeast Asia	0.81698740158981	3
Beijing	75104879.0068	PKU	2010	China	East Asia	4.56651863677	6
Belo Horizonte	2804787	CDP	2013	Brazil	Latin America & Caribbean	0.674179774600701	1
Benxi	866087.529437	PKU	2010	China	East Asia	0.681290269103	6
Betim	1716901	carbonn	2013	Brazil	Latin America & Caribbean	4.20347510576622	1
Bhubaneswar	528002.28	carbonn	2005	India	South Asia	0.630483607496991	1
Blacksburg	124461.79	CDP	2015	USA	North America	2.03004441498581	2
Bogor	954020	CDP	2014	Indonesia	Southeast Asia	0.567324955520241	3
Bogotá	10679585.14	CDP	2015	Colombia	Latin America & Caribbean	1.02031488951684	3
Boston	3603270	CDP	2014	USA	North America	4.63565519399807	1
Boulder	741287	CDP	2012	USA	North America	6.13363255007451	2
Bournemouth	350775	CDP	2013	United Kingdom	Europe	1.77427921092565	3
Brasília	7739830	CDP	2012	Brazil	Latin America & Caribbean	2.38823345564763	3
Bristol	2127000	carbonn	2012	United Kingdom	Europe	4.68295904887715	1
Brussels	3293000	carbonn	2011	Belgium	Europe	2.80214062099793	1
Buenos Aires	15561157	CDP	2014	Argentina	Latin America & Caribbean	4.33854958555654	1
Buffalo City	2592942	carbonn	2007	South Africa	Africa	3.43345074152542	1
Burlington	368077	CDP	2010	USA	North America	8.70982016090866	4
Calgary	10448332	CDP	2015	Canada	North America	6.79442512046722	1
Canberra	1757500	CDP	2015	Australia	Oceania	3.70453092689678	3
Cape Town	9783734	CDP	2012	South Africa	Africa	2.17363156058032	1
Caracas	14364103	CDP	2015	Venezuela	Latin America & Caribbean	2.21175800045291	3
Cascais	565382	CDP	2010	Portugal	Europe	2.73820582238387	3
Changchun	5029058.46744	PKU	2010	China	East Asia	1.18104	6
Changsha, Hunan	3955711.94	PKU	2010	China	East Asia	0.83	6
Changzhou	4131838.87751	PKU	2010	China	East Asia	1.4242956244	6
Chengdou	9975976.2	PKU	2010	China	East Asia	1.08	6
Chicago	16951471	CDP	2015	USA	North America	5.51541808475465	1
Chongqing	9485242.8	PKU	2010	China	East Asia	0.88	6
Cleveland	7750563	CDP	2010	USA	North America	19.3207154206174	2
Cochin	269372	carbonn	2008	India	South Asia	0.447778660646903	1
Coimbatore	5316666	carbonn	2015	India	South Asia	3.31993246070094	1
Columbus	5487400	CDP	2015	USA	North America	5.65390092954911	1
Curitiba	2686488	CDP	2013	Brazil	Latin America & Caribbean	1.08806064251007	1
Dalian	11448360.8442	PKU	2010	China	East Asia	2.29926470118	6
Dallas	119881	CDP	2010	USA	North America	-0.621974339986738	5
Dandong	650633.454572	PKU	2010	China	East Asia	0.441072141057	6
Daqing	3884885.60902	PKU	2010	China	East Asia	2.103472	6
Datong	1498970.42305	PKU	2010	China	East Asia	0.822655480591	6
Davis, CA	348437	CDP	2010	USA	North America	4.39617387991719	2
Dehradun	1316744	carbonn	2008	India	South Asia	2.27644963867086	1
Denver	4557000	CDP	2014	USA	North America	5.85957111673069	5
Detroit	5520240	CDP	2012	USA	North America	7.44018215500131	2
District of Columbia	3132786	CDP	2013	USA	North America	3.86184093672378	1
Durban	11681810	CDP	2014	South Africa	Africa	2.91514468631455	1
Durham	1973070	CDP	2015	USA	North America	6.78927613261768	2
Edmonton	10215142	CDP	2014	Canada	North America	9.36763454229818	4
Ekurhuleni	19330397	carbonn	2014	South Africa	Africa	6.08166728016939	1
Emeryville, CA	127138	CDP	2014	USA	North America	10.2168831370352	1
Eugene	1106250	CDP	2015	USA	North America	5.96306312263453	2
Faro	128	CDP	2010	Portugal	Europe	0.001982651796778	5
Flagstaff	621293.07	CDP	2014	USA	North America	8.6943991659553	5
Florianópolis	1305206	CDP	2013	Brazil	Latin America & Caribbean	2.25591818674019	1
Fort Collins	2055587	carbonn	2016	USA	North America	14.2762976956093	1
Fushun	1495948.86969	PKU	2010	China	East Asia	0.976612	6
Fuxin	381202.916456	PKU	2010	China	East Asia	0.399284933976	6
Fuzhou	7188866.09081	PKU	2010	China	East Asia	1.63083987001	6
Gandhinagar	5424749	carbonn	2011	India	South Asia	18.5672885712623	1
Gladsaxe Kommune	247599	CDP	2015	Denmark	Europe	3.38392751919307	1
Graz	1218740	carbonn	1994	Austria	Europe	4.34953604568166	1
Greater London	20620000	CDP	2013	United Kingdom	Europe	1.79225897615473	1
Guangzhou	21069987.84	PKU	2010	China	East Asia	1.98	6
Guaratinguetá	497634	CDP	2015	Brazil	Latin America & Caribbean	4.17923458718601	3
Guiyang	1059495.97501	PKU	2010	China	East Asia	0.361320940841	6
Gwalior	1195239	carbonn	2013	India	South Asia	1.11780213901743	1
Gävle	363052	carbonn	2011	Sweden	Europe	4.81175862480285	1
Haerbin	10142882.88	PKU	2010	China	East Asia	1.56	6
Haikou	880097.8	PKU	2010	China	East Asia	0.58	6
Hamilton, ON	6304593	CDP	2012	Canada	North America	10.1105040642513	4
Handan	3005643.73272	PKU	2010	China	East Asia	0.754109514077	6
Hangzhou	20319589.9607	PKU	2010	China	East Asia	3.188562052	6
Hat Yai	477723	carbonn	2013	Thailand	Southeast Asia	3.01939728728716	1
Hayward	861854	CDP	2015	USA	North America	4.67529688865871	4
Hefei	5131200.36	PKU	2010	China	East Asia	1.32	6
Hegang	306548.753366	PKU	2010	China	East Asia	0.378047799552	6
Heilongjiang	350520.291081	PKU	2010	China	East Asia	0.363462839327	6
Helsinki	2096206	CDP	2014	Finland	Europe	1.87120837207433	5
Hengyang	1030434.76712	PKU	2010	China	East Asia	0.32394807421	6
Hermosa Beach, CA	123218	CDP	2012	USA	North America	5.4809714152888	4
Hjørring	289000	CDP	2014	Denmark	Europe	4.30565694790006	5
Hoeje-Taastrup Kommune	173000	CDP	2014	Denmark	Europe	3.54123595275623	1
Hohhot	2721836.64	PKU	2010	China	East Asia	1.52	6
Hong Kong	44876460	CDP	2014	China	East Asia	5.62790287266472	3
Houston	16075539	CDP	2014	USA	North America	6.26659568742165	2
Huaibei	1322234.51304	PKU	2010	China	East Asia	1.18104	6
Huainan	1124851.26	PKU	2010	China	East Asia	0.78	6
Huangshi	563460.779364	PKU	2010	China	East Asia	0.408322369844	6
Hue	1040337	carbonn	2011	Vietnam	Southeast Asia	2.93777603325389	1
Hyderabad	2196031	carbonn	2010	India	South Asia	0.322472933067253	1
Incheon	57719912	CDP	2015	South Korea	East Asia	18.8523198448407	5
Indianapolis	726155.11	CDP	2013	USA	North America	0.849141345987436	5
Indore	1145839	carbonn	2007	India	South Asia	0.574529043114285	1
Iowa	590282	CDP	2013	USA	North America	7.19689076649118	2
Istanbul	37199137	carbonn	2010	Turkey	N Africa & W Asia	2.47511911953446	1
Izmir	50287659	carbonn	2015	Turkey	N Africa & W Asia	11.7668366139977	1
Jaipur	7610894	carbonn	2010	India	South Asia	2.49849697441623	1
Jerusalem	2353555	carbonn	2007	Israel	N Africa & W Asia	2.66645858163806	1
Jiamusi	495170.672101	PKU	2010	China	East Asia	0.365305620079	6
Jiaozhuo	815447.132719	PKU	2010	China	East Asia	0.49194801888	6
Jilin	2348914.71091	PKU	2010	China	East Asia	0.944832	6
Jinan, Shandong	7731542.72	PKU	2010	China	East Asia	1.76	6
Jingzhou	778879.269628	PKU	2010	China	East Asia	0.322290158086	6
Jinzhou	918688.574202	PKU	2010	China	East Asia	0.613918948728	6
Jixi	476065.669992	PKU	2010	China	East Asia	0.389216009608	6
Johannesburg	9068358	CDP	2014	South Africa	Africa	1.65086836517429	1
Kadiovacik	404.65	CDP	2015	Turkey	N Africa & W Asia	1.87337962962963	1
Kaifeng	882357.931934	PKU	2010	China	East Asia	0.532027760302	6
Kaohsiung	43502687.67	CDP	2014	Taiwan	East Asia	15.2647237132645	5
Khelang Nakhon	162378	carbonn	2015	Thailand	Southeast Asia	2.70179700499168	1
Knoxville	2061435	CDP	2012	USA	North America	10.3295240824998	2
Kota	1099038	carbonn	2010	India	South Asia	1.09717937813344	1
Kunming	2649621.63815	PKU	2010	China	East Asia	0.610821812854	6
Kyoto	7684000	carbonn	2011	Japan	East Asia	5.21015913225491	1
La Paz	1152922.4	CDP	2012	Bolivia	Latin America & Caribbean	0.763799078139115	1
Lagos	29426266	CDP	2014	Nigeria	Africa	1.25273770210476	1
Lahti	717200	CDP	2015	Finland	Europe	4.5267772491156	3
Lakewood	553900	CDP	2007	USA	North America	2.86349115676971	5
Lampang	120403.31	carbonn	2013	Thailand	Southeast Asia	2.0732739263698	1
Lancaster, PA	364183	CDP	2016	USA	North America	5.39291282049377	4
Lanzhou	2649039.26064	PKU	2010	China	East Asia	0.960298554765	6
Las Vegas	11002925	CDP	2014	USA	North America	17.3846048107794	5
Lausanne	456843	CDP	2013	Switzerland	Europe	3.36832830736789	5
León	94311876.215	carbonn	2012	Mexico	Latin America & Caribbean	65.6432866893153	1
